Designator,Mid X,Mid Y,Rotation,Layer
C1,134.6276,-60.754198,180.0,top
C10,175.3636,-86.9024,0.0,top
C11,136.784,-58.6427,90.0,top
C12,166.751,-83.4924,90.0,top
C13,171.323,-96.7544,270.0,top
C14,170.2812,-96.7544,270.0,top
C15,160.3756,-92.3036,180.0,top
C18,160.3756,-93.5736,180.0,top
C19,175.3636,-84.1264,0.0,top
C2,141.8362,-64.6938,0.0,top
C21,178.8668,-111.7074,270.0,top
C22,156.2225,-54.183,180.0,top
C23,178.8668,-101.2698,90.0,top
C24,156.2225,-60.0116,180.0,top
C25,117.2211,-54.3637,90.0,top
C27,171.3512,-114.3514,270.0,top
C28,168.5318,-110.2576,90.0,top
C29,171.196,-67.7266,270.0,top
C3,150.9318,-57.375998,0.0,top
C4,149.2486,-53.8734,180.0,top
C40,153.162,-55.2704,90.0,top
C41,178.562,-80.5434,0.0,top
C44,130.980195,-62.576598,90.0,top
C45,175.3362,-97.79,0.0,top
C46,96.1514,-64.2112,0.0,top
C47,125.256,-61.8121,90.0,top
C48,128.2954,-53.5204,90.0,top
C49,103.9876,-63.0646,90.0,top
C5,139.324,-58.6427,90.0,top
C50,173.7106,-67.7266,270.0,top
C51,121.6914,-53.4696,90.0,top
C52,179.0954,-82.677,0.0,top
C53,120.269,-56.2356,270.0,top
C55,175.3362,-95.3516,0.0,top
C6,167.2844,-96.7544,270.0,top
C7,175.3636,-85.9282,0.0,top
C8,170.7388,-83.4924,90.0,top
C9,169.2402,-96.7544,270.0,top
D1,117.5308,-60.125398,270.0,top
D2,120.274,-60.125398,90.0,top
F1,182.8562,-102.5906,270.0,top
F2,160.5026,-54.183,180.0,top
FB2,153.162,-57.8612,90.0,top
FB3,139.324,-55.470998,180.0,top
IC2,162.5628,-114.2988,90.0,top
J2,183.0928,-89.7128,90.0,top
J3,95.5154,-54.1312,270.0,top
R1,168.3512,-106.0196,90.0,top
R10,134.6276,-61.719398,0.0,top
R11,128.3878,-60.7879,180.0,top
R12,127.894,-62.474998,180.0,top
R13,125.7066,-64.3858,0.0,top
R14,123.3444,-64.3858,0.0,top
R15,169.9514,-70.4038,90.0,top
R16,172.4192,-70.4038,90.0,top
R17,174.9806,-70.4038,90.0,top
R18,175.3636,-90.3478,0.0,top
R19,175.3636,-91.3384,0.0,top
R2,175.3362,-92.9354,180.0,top
R20,93.7025,-61.849,180.0,top
R21,92.8624,-64.2112,0.0,top
R22,109.6264,-64.2112,180.0,top
R3,175.3636,-88.6508,180.0,top
R4,176.4284,-106.0196,90.0,top
R5,173.5836,-106.0196,90.0,top
R6,160.3756,-89.9922,0.0,top
R7,178.6362,-78.1812,180.0,top
R8,178.6366,-76.962,180.0,top
R9,134.6276,-62.684598,180.0,top
SD1,182.8562,-106.6038,90.0,top
SD2,161.1376,-60.0116,0.0,top
SW1,172.7708,-57.5056,180.0,top
SW90,182.5544,-78.0238,0.0,top
SW91,182.5544,-71.7322,0.0,top
U1,167.6812,-89.7158,0.0,top
U10,103.3576,-56.7612,270.0,top
U11,111.6526,-58.6487,270.0,top
U13,124.9984,-56.1926,270.0,top
U14,131.510195,-56.1926,270.0,top
U3,179.8828,-106.6038,270.0,top
U4,174.307,-114.2988,270.0,top
U5,145.7367,-60.2677,270.0,top
U6,174.1678,-77.2668,180.0,top
U7,158.1038,-57.0992,0.0,top
Y1,159.8656,-87.5538,270.0,top
